,sample,dynamic_UQ,dynamic_cov,dynamic_cdspct,dynamic_min,dynamic_max,read_pct_analysis_dynamic,UQ_dedup_old,cov_dedup,cov_deu_group,UQ_dedup_new,UQ_dedup_old_class,UQ_dedup_new_class,CDS_network_PCT_L23-36,cancer.CDS_alignment,CDS_network_PCT_old.L28.36.,study_id,cellline,type,digestion
605,GSM3944606,6,0.121510255,0.879925,26,30,0.853067579,5,0.140637345,extra_low,6,below 10,below 10,0.96410455,0.772709,0.75722733,GSE134380,HELA,Cervix_cancer,RNAse I
651,GSM4203634,6,0.191315732,0.879739,29,40,0.854297788,4,0.209893831,above_0.2,4,below 10,below 10,0.570081271,0.822246,0.546833123,GSE141459,HELA,Cervix_cancer,RNAse I
706,GSM4258312,6,0.17932341,0.770414,30,36,0.878389648,6,0.202393981,above_0.2,6,below 10,below 10,0.946065376,0.763237,0.935429896,GSE143393,U2392,lymphoma,RNAse I
713,GSM4258319,6,0.156458688,0.757547,25,36,0.880184381,5,0.173235548,extra_low,6,below 10,below 10,0.936804337,0.742057,0.812845311,GSE143393,U2392,lymphoma,RNAse I
773,GSM4485596,6,0.154087528,0.904213,27,37,0.859847082,6,0.170765922,extra_low,6,below 10,below 10,0.931045805,0.849733,0.875038497,GSE141459,HELA,Cervix_cancer,RNAse I
775,GSM4485598,6,0.140796251,0.73229,20,40,0.688903403,4,0.177047534,extra_low,5,below 10,below 10,0.719493775,0.643417,0.611037142,GSE141459,HELA,Cervix_cancer,RNAse I
789,GSM4711286,6,0.088603963,0.936515,23,28,0.87348122,1,0.099634198,extra_low,6,below 10,below 10,0.928930754,0.906921,0.212409249,GSE155727,SH-SY5Y,neuroblastoma,RNAse I
332,GSM2602083,7,0.170438299,0.88175,25,33,0.853075313,6,0.198475235,extra_low,8,below 10,below 10,0.957581875,0.866541,0.720443196,GSE98623,MOLM13,Leukemia,Mnase
333,GSM2602084,7,0.163979885,0.881253,25,33,0.855803644,6,0.190059945,extra_low,7,below 10,below 10,0.958270634,0.865925,0.717430002,GSE98623,MOLM13,Leukemia,Mnase
337,GSM2602088,7,0.189887988,0.891142,26,33,0.852474716,6,0.218116532,above_0.2,8,below 10,below 10,0.964536837,0.879066,0.736652415,GSE98623,MOLM13,Leukemia,Mnase
500,GSM3395010,7,0.152485715,0.828181,20,40,0.624359874,3,0.212263713,above_0.2,5,below 10,below 10,0.570270569,0.809884,0.346434334,GSE120159,PANC1,pancreatic_cancer,RNAse I
615,GSM3944616,7,0.140156822,0.898713,25,30,0.873704798,3,0.160068541,extra_low,8,below 10,below 10,0.964507962,0.834887,0.449143024,GSE134380,HELA,Cervix_cancer,RNAse I
705,GSM4258311,7,0.212733474,0.78073,26,36,0.873687966,7,0.238327363,above_0.2,8,below 10,below 10,0.940806048,0.767716,0.829969373,GSE143393,U2392,lymphoma,RNAse I
710,GSM4258316,7,0.217362406,0.761496,32,36,0.850808723,8,0.252419858,above_0.2,8,below 10,below 10,0.94719169,0.753229,0.933501977,GSE143393,U2392,lymphoma,RNAse I
